model,alpha,seed,steps,id_self,id_transfer,comp_ood_self,comp_ood_transfer,length_ood_self,length_ood_transfer,runtime_sec,file
disc_mono,0.33,0,20000,0.9307,0.1016,0.5931,0.0409,0.4501,0.0477,85.48,gridworld_disc_mono_alpha0.33_seed0.json
disc_mono,0.33,1,20000,0.8109,0.2044,0.5461,0.0675,0.38155,0.1039,81.36,gridworld_disc_mono_alpha0.33_seed1.json
disc_mono,0.33,2,20000,0.9378,0.0857,0.5869,0.0436,0.4591,0.04135,82.02,gridworld_disc_mono_alpha0.33_seed2.json
disc_mono,0.66,0,20000,0.7524,0.1139,0.6984,0.0937,0.38265,0.0291,82.86,gridworld_disc_mono_alpha0.66_seed0.json
disc_mono,0.66,1,20000,0.7538,0.1427,0.7125,0.1193,0.38175,0.04235,81.13,gridworld_disc_mono_alpha0.66_seed1.json
disc_mono,0.66,2,20000,0.6626,0.153,0.6772,0.1288,0.27785,0.05645,82.84,gridworld_disc_mono_alpha0.66_seed2.json
disc_mono,1.0,0,20000,0.6572,0.1706,0.6584,0.1729,0.18595,0.08225,82.64,gridworld_disc_mono_alpha1.00_seed0.json
disc_mono,1.0,1,20000,0.6309,0.1753,0.6201,0.1721,0.17365,0.0788,82.74,gridworld_disc_mono_alpha1.00_seed1.json
disc_mono,1.0,2,20000,0.6,0.1737,0.6038,0.1751,0.1578,0.07665,80.29,gridworld_disc_mono_alpha1.00_seed2.json
neo,0.33,0,20000,0.5937,0.5663,0.1299,0.1128,0.4591,0.4392,133.41,gridworld_neo_alpha0.33_seed0.json
neo,0.33,1,20000,0.918,0.9101,0.631,0.6287,0.50315,0.49935,131.84,gridworld_neo_alpha0.33_seed1.json
neo,0.33,2,20000,0.6592,0.6341,0.2247,0.199,0.42545,0.4095,131.16,gridworld_neo_alpha0.33_seed2.json
neo,0.66,0,20000,0.6859,0.6437,0.6641,0.6256,0.4233,0.38855,132.91,gridworld_neo_alpha0.66_seed0.json
neo,0.66,1,20000,0.8739,0.7931,0.8476,0.761,0.5166,0.4673,131.43,gridworld_neo_alpha0.66_seed1.json
neo,0.66,2,20000,0.9182,0.867,0.8644,0.817,0.5574,0.5265,132.53,gridworld_neo_alpha0.66_seed2.json
neo,1.0,0,20000,0.5329,0.4508,0.537,0.4593,0.32545,0.27215,129.84,gridworld_neo_alpha1.00_seed0.json
neo,1.0,1,20000,0.9699,0.9657,0.9762,0.9717,0.60135,0.59935,131.41,gridworld_neo_alpha1.00_seed1.json
neo,1.0,2,20000,0.6604,0.6084,0.6714,0.6144,0.3897,0.36225,132.33,gridworld_neo_alpha1.00_seed2.json
