regime,model,alpha,seed,neo_s_samples,train_lengths,eval_lengths,steps,id_self,id_transfer,comp_ood_self,comp_ood_transfer,length_ood_self,length_ood_transfer,length_ood_len,runtime_sec,file
reverse_long_to_short,disc_mono,0.66,0,,4-8,1-3,600,0.34,0.022,0.366,0.024,0.348,0.038,1.0,5.93,reverse_long_to_short_disc_mono_alpha0.66_seed0.json
reverse_long_to_short,disc_mono,0.66,1,,4-8,1-3,600,0.336,0.026,0.428,0.042,0.33,0.026,1.0,5.88,reverse_long_to_short_disc_mono_alpha0.66_seed1.json
reverse_long_to_short,disc_mono,1.0,0,,4-8,1-3,600,0.372,0.022,0.362,0.04,0.25,0.022,1.0,6.0,reverse_long_to_short_disc_mono_alpha1.00_seed0.json
reverse_long_to_short,disc_mono,1.0,1,,4-8,1-3,600,0.376,0.032,0.358,0.03,0.2,0.01,1.0,6.2,reverse_long_to_short_disc_mono_alpha1.00_seed1.json
reverse_long_to_short,neo,0.66,0,,4-8,1-3,600,0.44,0.022,0.446,0.036,0.46,0.022,2.946,17.75,reverse_long_to_short_neo_alpha0.66_seed0.json
reverse_long_to_short,neo,0.66,1,,4-8,1-3,600,0.412,0.028,0.42,0.04,0.456,0.028,3.308,17.48,reverse_long_to_short_neo_alpha0.66_seed1.json
reverse_long_to_short,neo,1.0,0,,4-8,1-3,600,0.47,0.022,0.472,0.024,0.284,0.018,3.832,18.58,reverse_long_to_short_neo_alpha1.00_seed0.json
reverse_long_to_short,neo,1.0,1,,4-8,1-3,600,0.44,0.024,0.402,0.024,0.284,0.024,4.362,18.11,reverse_long_to_short_neo_alpha1.00_seed1.json
reverse_long_to_short,neo_s,0.66,0,16,4-8,1-3,600,0.622,0.028,0.63,0.032,0.628,0.022,3.632,18.2,reverse_long_to_short_neo_s_alpha0.66_seed0_samples16.json
reverse_long_to_short,neo_s,0.66,1,16,4-8,1-3,600,0.562,0.044,0.608,0.038,0.614,0.024,3.918,17.26,reverse_long_to_short_neo_s_alpha0.66_seed1_samples16.json
reverse_long_to_short,neo_s,1.0,0,16,4-8,1-3,600,0.64,0.026,0.636,0.032,0.474,0.022,4.496,18.9,reverse_long_to_short_neo_s_alpha1.00_seed0_samples16.json
reverse_long_to_short,neo_s,1.0,1,16,4-8,1-3,600,0.6,0.022,0.58,0.016,0.502,0.024,5.154,19.81,reverse_long_to_short_neo_s_alpha1.00_seed1_samples16.json
standard_short_to_long,disc_mono,0.66,0,,1-3,4-8,600,0.492,0.07,0.49,0.076,0.216,0.024,1.0,6.03,standard_short_to_long_disc_mono_alpha0.66_seed0.json
standard_short_to_long,disc_mono,0.66,1,,1-3,4-8,600,0.55,0.094,0.544,0.082,0.222,0.028,1.0,5.67,standard_short_to_long_disc_mono_alpha0.66_seed1.json
standard_short_to_long,disc_mono,1.0,0,,1-3,4-8,600,0.518,0.092,0.53,0.092,0.194,0.028,1.0,6.09,standard_short_to_long_disc_mono_alpha1.00_seed0.json
standard_short_to_long,disc_mono,1.0,1,,1-3,4-8,600,0.574,0.116,0.564,0.082,0.202,0.024,1.0,6.14,standard_short_to_long_disc_mono_alpha1.00_seed1.json
standard_short_to_long,neo,0.66,0,,1-3,4-8,600,0.688,0.098,0.674,0.08,0.404,0.034,4.46,18.07,standard_short_to_long_neo_alpha0.66_seed0.json
standard_short_to_long,neo,0.66,1,,1-3,4-8,600,0.652,0.1,0.622,0.08,0.352,0.02,4.412,18.32,standard_short_to_long_neo_alpha0.66_seed1.json
standard_short_to_long,neo,1.0,0,,1-3,4-8,600,0.672,0.078,0.694,0.118,0.42,0.036,4.362,17.98,standard_short_to_long_neo_alpha1.00_seed0.json
standard_short_to_long,neo,1.0,1,,1-3,4-8,600,0.704,0.114,0.672,0.094,0.366,0.038,4.362,18.99,standard_short_to_long_neo_alpha1.00_seed1.json
standard_short_to_long,neo_s,0.66,0,16,1-3,4-8,600,0.906,0.088,0.87,0.08,0.656,0.038,5.362,17.77,standard_short_to_long_neo_s_alpha0.66_seed0_samples16.json
standard_short_to_long,neo_s,0.66,1,16,1-3,4-8,600,0.872,0.082,0.792,0.066,0.558,0.026,5.408,20.17,standard_short_to_long_neo_s_alpha0.66_seed1_samples16.json
standard_short_to_long,neo_s,1.0,0,16,1-3,4-8,600,0.884,0.074,0.886,0.102,0.66,0.042,5.206,17.85,standard_short_to_long_neo_s_alpha1.00_seed0_samples16.json
standard_short_to_long,neo_s,1.0,1,16,1-3,4-8,600,0.876,0.118,0.868,0.084,0.618,0.038,5.28,19.8,standard_short_to_long_neo_s_alpha1.00_seed1_samples16.json
